15:43:36.631251 IP6 fe80::dd2b:da38:44c8:1eab.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:36.633302 IP6 fe80::b809:b0c9:f756:f328.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:40.366492 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:43:40.367173 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:43:40.567856 IP 192.168.48.131.47565 > 192.168.48.2.domain: 55483+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:43:40.581379 IP 192.168.48.2.domain > 192.168.48.131.47565: 55483 NXDomain 0/1/0 (113)
15:43:40.605195 IP 192.168.48.131.58400 > 192.168.48.128.telnet: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:49.632717 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 548633, win 0, length 0
15:43:49.634463 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], seq 548633:548634, ack 1950, win 64240, length 1
15:43:49.634528 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 548633, win 3760, length 0
15:43:49.635445 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 548633:552393, ack 1950, win 64240, length 3760
15:43:49.635803 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 550093, win 2300, length 0
15:43:49.636170 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 552393, win 0, length 0
15:43:49.636444 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], seq 552393:552394, ack 1950, win 64240, length 1
15:43:49.636704 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 552394, win 60479, length 0
15:43:49.637649 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 552394, win 64239, length 0
15:43:49.798259 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [R], seq 4089054559, win 0, length 0
15:43:49.846822 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [P.], seq 1215:1841, ack 359821, win 63731, length 626
15:43:49.847258 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [.], ack 1841, win 64240, length 0
15:43:49.889150 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 359821:361062, ack 1841, win 64240, length 1241
15:43:49.938432 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [S], seq 4089488665, win 64240, options [mss 1460,nop,nop,sackOK], length 0
15:43:49.963467 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [S.], seq 658591871, ack 4089488666, win 64240, options [mss 1460], length 0
15:43:49.964181 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
15:43:49.964951 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [P.], seq 1:621, ack 1, win 64240, length 620
15:43:49.965362 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [.], ack 621, win 64240, length 0
15:43:49.985962 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [P.], seq 1841:2420, ack 361062, win 64240, length 579
15:43:49.986341 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [.], ack 2420, win 64240, length 0
15:43:49.992474 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [R], seq 4088943509, win 0, length 0
15:43:49.996218 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 1:17521, ack 621, win 64240, length 17520
15:43:49.996638 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 17521:21901, ack 621, win 64240, length 4380
15:43:49.996906 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 2921, win 64240, length 0
15:43:49.997023 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 5841, win 64240, length 0
15:43:49.997909 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 8761, win 64240, length 0
15:43:50.000634 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 11681, win 61320, length 0
15:43:50.000748 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 14601, win 58400, length 0
15:43:50.000811 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 17521, win 55480, length 0
15:43:50.000848 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 20441, win 52560, length 0
15:43:50.001394 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 21901:23361, ack 621, win 64240, length 1460
15:43:50.003370 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 23361, win 49640, length 0
15:43:50.005397 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [S], seq 4089561045, win 64240, options [mss 1460,nop,nop,sackOK], length 0
15:43:50.007578 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 23361, win 53400, length 0
15:43:50.008927 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 23361, win 64240, length 0
15:43:50.030889 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 23361:39421, ack 621, win 64240, length 16060
15:43:50.031537 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 39421:45261, ack 621, win 64240, length 5840
15:43:50.031865 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 26281, win 64240, length 0
15:43:50.032242 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 29201, win 64240, length 0
15:43:50.032615 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 32121, win 64240, length 0
15:43:50.032747 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 35041, win 61320, length 0
15:43:50.032905 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 37961, win 58400, length 0
15:43:50.033121 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 40881, win 55480, length 0
15:43:50.033293 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 43801, win 52560, length 0
15:43:50.035851 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 45261:58401, ack 621, win 64240, length 13140
15:43:50.036448 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 46721, win 49640, length 0
15:43:50.036954 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 49641, win 46720, length 0
15:43:50.037530 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [S.], seq 248807322, ack 4089561046, win 64240, options [mss 1460], length 0
15:43:50.038039 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 52561, win 43800, length 0
15:43:50.038302 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 55481, win 40880, length 0
15:43:50.038464 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 58401, win 37960, length 0
15:43:50.039620 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
15:43:50.055037 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 58401, win 41720, length 0
15:43:50.055443 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 58401:61321, ack 621, win 64240, length 2920
15:43:50.055701 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 61321, win 38800, length 0
15:43:50.056330 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 61321, win 61320, length 0
15:43:50.057344 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 61321, win 64240, length 0
15:43:50.059305 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [.], seq 61321:75921, ack 621, win 64240, length 14600
15:43:50.059492 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 75921:80301, ack 621, win 64240, length 4380
15:43:50.060268 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 64241, win 64240, length 0
15:43:50.060990 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 67161, win 64240, length 0
15:43:50.061500 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 70081, win 64240, length 0
15:43:50.061926 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 73001, win 61320, length 0
15:43:50.062009 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 75921, win 58400, length 0
15:43:50.062296 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 78841, win 55480, length 0
15:43:50.064001 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 80301:97821, ack 621, win 64240, length 17520
15:43:50.064936 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 97821:102201, ack 621, win 64240, length 4380
15:43:50.065473 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 81761, win 52560, length 0
15:43:50.065564 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 84681, win 49640, length 0
15:43:50.065614 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 87601, win 46720, length 0
15:43:50.065645 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 90521, win 43800, length 0
15:43:50.065760 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 93441, win 40880, length 0
15:43:50.065904 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 96361, win 37960, length 0
15:43:50.066089 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 99281, win 35040, length 0
15:43:50.066214 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 102201, win 32120, length 0
15:43:50.070146 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 102201:110961, ack 621, win 64240, length 8760
15:43:50.071572 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 105121, win 29200, length 0
15:43:50.072015 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 108041, win 26280, length 0
15:43:50.072147 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 110961, win 23360, length 0
15:43:50.083881 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 110961:116801, ack 621, win 64240, length 5840
15:43:50.085653 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 113881, win 20440, length 0
15:43:50.086071 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 116801, win 17520, length 0
15:43:50.089503 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 116801:122641, ack 621, win 64240, length 5840
15:43:50.089976 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 119721, win 14600, length 0
15:43:50.090111 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 122641, win 11680, length 0
15:43:50.095486 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 122641:134321, ack 621, win 64240, length 11680
15:43:50.096821 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 125561, win 8760, length 0
15:43:50.096908 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 128481, win 5840, length 0
15:43:50.096938 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 131401, win 2920, length 0
15:43:50.096969 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 134321, win 0, length 0
15:43:50.097314 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [.], seq 134321:134322, ack 621, win 64240, length 1
15:43:50.097780 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 134321, win 0, length 0
15:43:50.118305 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [P.], seq 1:580, ack 1, win 64240, length 579
15:43:50.118713 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [.], ack 580, win 64240, length 0
15:43:50.119159 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 134321, win 64240, length 0
15:43:50.119715 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [.], seq 134321:135781, ack 621, win 64240, length 1460
15:43:50.120307 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 135781:191261, ack 621, win 64240, length 55480
15:43:50.121902 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 191261:194181, ack 621, win 64240, length 2920
15:43:50.122063 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 137241, win 61320, length 0
15:43:50.122125 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 140161, win 58400, length 0
15:43:50.122282 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 143081, win 55480, length 0
15:43:50.122321 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 146001, win 52560, length 0
15:43:50.122967 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 148921, win 49640, length 0
15:43:50.123676 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 151841, win 46720, length 0
15:43:50.123900 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 154761, win 43800, length 0
15:43:50.124160 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 157681, win 40880, length 0
15:43:50.124348 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 160601, win 37960, length 0
15:43:50.124425 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 163521, win 35040, length 0
15:43:50.124987 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 166441, win 32120, length 0
15:43:50.126110 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 194181:198561, ack 621, win 64240, length 4380
15:43:50.127185 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 169361, win 29200, length 0
15:43:50.127279 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 172281, win 26280, length 0
15:43:50.127440 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 175201, win 23360, length 0
15:43:50.127569 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 178121, win 20440, length 0
15:43:50.127747 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 181041, win 17520, length 0
15:43:50.127910 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 183961, win 14600, length 0
15:43:50.128034 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 186881, win 11680, length 0
15:43:50.128157 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 189801, win 8760, length 0
15:43:50.128396 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 192721, win 5840, length 0
15:43:50.128559 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 195641, win 2920, length 0
15:43:50.128706 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 198561, win 0, length 0
15:43:50.128879 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [.], seq 198561:198562, ack 621, win 64240, length 1
15:43:50.129058 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 198561, win 0, length 0
15:43:50.131024 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 198561, win 64240, length 0
15:43:50.131528 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 198561:216081, ack 621, win 64240, length 17520
15:43:50.131857 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 201481, win 61320, length 0
15:43:50.132025 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 204401, win 58400, length 0
15:43:50.132190 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 207321, win 55480, length 0
15:43:50.132425 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 210241, win 52560, length 0
15:43:50.132578 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 213161, win 49640, length 0
15:43:50.132728 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 216081, win 46720, length 0
15:43:50.133508 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 216081, win 64240, length 0
15:43:50.138318 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 216081:233601, ack 621, win 64240, length 17520
15:43:50.139394 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 233601:237981, ack 621, win 64240, length 4380
15:43:50.139516 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 219001, win 64240, length 0
15:43:50.139575 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 221921, win 64240, length 0
15:43:50.139637 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 224841, win 64240, length 0
15:43:50.139683 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 227761, win 61320, length 0
15:43:50.139711 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 230681, win 58400, length 0
15:43:50.139738 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 233601, win 55480, length 0
15:43:50.146585 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 237981:255501, ack 621, win 64240, length 17520
15:43:50.147011 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 255501:259881, ack 621, win 64240, length 4380
15:43:50.147272 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 259881:261341, ack 621, win 64240, length 1460
15:43:50.147537 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 236521, win 52560, length 0
15:43:50.147767 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 239441, win 49640, length 0
15:43:50.148004 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 242361, win 46720, length 0
15:43:50.148170 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 245281, win 43800, length 0
15:43:50.148309 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 248201, win 40880, length 0
15:43:50.148529 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 251121, win 37960, length 0
15:43:50.148677 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 254041, win 35040, length 0
15:43:50.149368 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 261341:277401, ack 621, win 64240, length 16060
15:43:50.149551 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 256961, win 32120, length 0
15:43:50.149607 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 259881, win 29200, length 0
15:43:50.149984 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 262801, win 26280, length 0
15:43:50.150262 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 277401:281781, ack 621, win 64240, length 4380
15:43:50.150551 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 265721, win 23360, length 0
15:43:50.150632 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 268641, win 20440, length 0
15:43:50.150857 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 271561, win 17520, length 0
15:43:50.151016 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 274481, win 14600, length 0
15:43:50.151154 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 277401, win 11680, length 0
15:43:50.151546 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 280321, win 8760, length 0
15:43:50.152396 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 281781:289081, ack 621, win 64240, length 7300
15:43:50.155895 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 1:4468, ack 580, win 64240, length 4467
15:43:50.234370 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 281781, win 64240, length 0
15:43:50.235463 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 289081:346020, ack 621, win 64240, length 56939
15:43:50.237834 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 346020, win 1, length 0
15:43:50.238089 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 346020:346021, ack 621, win 64240, length 1
15:43:50.238178 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 4468, win 64240, length 0
15:43:50.239384 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [.], ack 346021, win 64239, length 0
15:43:50.239641 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [P.], seq 346021:346792, ack 621, win 64240, length 771
15:43:50.299149 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [P.], seq 621:1200, ack 346792, win 63468, length 579
15:43:50.300010 IP 204.79.197.200.http > 192.168.48.128.kpop: Flags [.], ack 1200, win 64240, length 0
15:43:50.303592 IP 192.168.48.128.kpop > 204.79.197.200.http: Flags [R], seq 4089489865, win 0, length 0
15:43:50.313191 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [P.], seq 580:1159, ack 4468, win 64240, length 579
15:43:50.313737 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [.], ack 1159, win 64240, length 0
15:43:50.343868 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 4468:8935, ack 1159, win 64240, length 4467
15:43:50.346004 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 7388, win 64240, length 0
15:43:50.346097 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 8935, win 64240, length 0
15:43:50.407741 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [P.], seq 1159:1738, ack 8935, win 64240, length 579
15:43:50.408170 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [.], ack 1738, win 64240, length 0
15:43:50.432738 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 8935:11855, ack 1738, win 64240, length 2920
15:43:50.433525 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 11855:13402, ack 1738, win 64240, length 1547
15:43:50.435603 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 11855, win 64240, length 0
15:43:50.436233 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 13402, win 64240, length 0
15:43:50.479457 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [P.], seq 1738:2358, ack 13402, win 64240, length 620
15:43:50.480284 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [.], ack 2358, win 64240, length 0
15:43:50.507251 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 13402:14862, ack 2358, win 64240, length 1460
15:43:50.509151 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 14862:32382, ack 2358, win 64240, length 17520
15:43:50.510107 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 32382:36762, ack 2358, win 64240, length 4380
15:43:50.510763 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 16322, win 64240, length 0
15:43:50.511402 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 36762:49902, ack 2358, win 64240, length 13140
15:43:50.512497 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 19242, win 64240, length 0
15:43:50.513104 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 22162, win 64240, length 0
15:43:50.513832 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 25082, win 61320, length 0
15:43:50.513962 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 28002, win 58400, length 0
15:43:50.514000 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 30922, win 55480, length 0
15:43:50.514179 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 33842, win 52560, length 0
15:43:50.514540 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 36762, win 49640, length 0
15:43:50.515246 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 39682, win 46720, length 0
15:43:50.515836 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 42602, win 43800, length 0
15:43:50.516031 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 45522, win 40880, length 0
15:43:50.516175 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 48442, win 37960, length 0
15:43:50.536827 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 49902:57202, ack 2358, win 64240, length 7300
15:43:50.537600 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 51362, win 35040, length 0
15:43:50.538291 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 54282, win 32120, length 0
15:43:50.551267 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 57202:74722, ack 2358, win 64240, length 17520
15:43:50.552170 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 74722:86402, ack 2358, win 64240, length 11680
15:43:50.553123 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 57202, win 29200, length 0
15:43:50.553619 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 60122, win 26280, length 0
15:43:50.554808 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 63042, win 23360, length 0
15:43:50.555692 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 65962, win 20440, length 0
15:43:50.556138 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 68882, win 17520, length 0
15:43:50.556234 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 71802, win 14600, length 0
15:43:50.556465 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 74722, win 11680, length 0
15:43:50.556569 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 77642, win 8760, length 0
15:43:50.556692 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 80562, win 5840, length 0
15:43:50.556808 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 83482, win 2920, length 0
15:43:50.556945 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 86402, win 0, length 0
15:43:50.557102 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [.], seq 86402:86403, ack 2358, win 64240, length 1
15:43:50.557466 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 86402, win 0, length 0
15:43:50.561907 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 86402, win 3760, length 0
15:43:50.562211 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 86402:90162, ack 2358, win 64240, length 3760
15:43:50.562495 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 89322, win 840, length 0
15:43:50.563298 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 90162, win 60480, length 0
15:43:50.563636 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 90162:102462, ack 2358, win 64240, length 12300
15:43:50.565320 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 102462, win 48180, length 0
15:43:50.566463 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 102462:108302, ack 2358, win 64240, length 5840
15:43:50.566903 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 105382, win 45260, length 0
15:43:50.567219 IP 192.168.48.128.1110 > 204.79.197.200.http: Flags [.], ack 108302, win 42340, length 0
15:43:50.567837 IP 204.79.197.200.http > 192.168.48.128.1110: Flags [P.], seq 108302:115602, ack 2358, win 64240, length 7300
